choice_id,monster_id,skill_id,choice_group,sort_order,title,description_text,skill_icon_path,skill_effect_prefab_path
vega-e-master-1,vega,vega-e,ActiveMaster,0,이름 없는 죽음,"표식 소모량 100%, 표식 1스택당 추가 피해 +80%",,
vega-e-master-2,vega,vega-e,ActiveMaster,1,연속 선고,"기본 위력 -20%, 처치 시 최종선고 쿨타임 70% 반환",,
vega-f-trait-1,vega,vega-f,PassiveEnhancement,0,특성 1,모든 아군이 이름표식 대상에게 주는 피해 +5%,,
vega-f-trait-2,vega,vega-f,PassiveEnhancement,1,특성 2,이름표식 10스택 이상 대상의 물리 저항 추가 -4,,
vega-f-trait-3,vega,vega-f,PassiveEnhancement,2,특성 3,삼검난무 마지막 탄환 이름표식 부여량 +1스택,,
vega-g-trait-1,vega,vega-g,PassiveEnhancement,0,특성 1,모든 아군이 침묵 대상에게 주는 피해 +6%,,
vega-g-trait-2,vega,vega-g,PassiveEnhancement,1,특성 2,침묵 지속시간 +1초,,
vega-g-trait-3,vega,vega-g,PassiveEnhancement,2,특성 3,침묵 대상이 이름표식을 보유하면 모든 아군 치명타 확률 +10%,,
vega-h-trait-1,vega,vega-h,PassiveEnhancement,0,특성 1,몰살 허가 중 모든 아군의 행동속도 +6%,,
vega-h-trait-2,vega,vega-h,PassiveEnhancement,1,특성 2,몰살 허가 중 모든 아군의 공격력 +8%,,
vega-h-trait-3,vega,vega-h,PassiveEnhancement,2,특성 3,몰살 허가 중 모든 아군이 이름표식 대상에게 주는 피해 +10%,,
vega-i-trait-1,vega,vega-i,PassiveEnhancement,0,특성 1,모든 아군 범위 피해 증가량 +7%,,
vega-i-trait-2,vega,vega-i,PassiveEnhancement,1,특성 2,효과 지속시간 +2초,,
vega-i-trait-3,vega,vega-i,PassiveEnhancement,2,특성 3,이름표식 10스택 이상 대상은 모든 아군 범위 피해를 추가로 +10% 받음,,
vega-j-trait-1,vega,vega-j,PassiveEnhancement,0,특성 1,최종선고 처치 시 모든 아군 쿨타임 충전 +10%,,
vega-j-trait-2,vega,vega-j,PassiveEnhancement,1,특성 2,최종선고 대상이 생존할 때 모든 아군 피해 증가량 +5%,,
vega-j-trait-3,vega,vega-j,PassiveEnhancement,2,특성 3,최종선고로 적을 처치하면 검은 명부 개방 쿨타임 20% 감소,,
